Name,Country,Visited,Reviewed,Age,Experience Level,Program,Rating,Title,Review
Annie,KE,Visited: July 2023,10-Jul-23,under20,2-5 safaris,Bonfire Adventures,1,Horrible,Horrible experience flight got delayed 9 hours zero communication before hand even send us a driver to the airport knowing our flight was cancelled DO NOT RECOMMENDED 
Anonymous,US,Visited: October 2021,02-Nov-21,20-35,first safari,African Adventure Specialists,1,Thiefs and liars,"The three of us selected a ten day trip around Uganda. We paid two thirds of the total, told to cover the remaining third upon arrival. Once we arrived, we were taken to ATM's several times almost every morning, to take out the third half and pay in cash. We explained multiple times that we would not be able to take out that much and can wire money instead but our guide refused and kept asking us to take out cash, even asking us to overpay at a lodge so they could reimburse that amount back to the guide.

We told our guide several times we did not want a boat tour. It was not part of our itinerary. On the day we had scheduled game drives all day, they took us to lunch then told us to hurry through lunch to make the boat tour. 

After we paid our initial deposit, our guide changed several lodging options. They explained 'it was the equivalent.' One lodge was $125USD a night but they changed it to a $16USD a night lodge. When we arrived at our $16USD night lodge, the guide told us to check in then LEFT. We couldn't check in because it was too early and our guide had left with our bags. They came back two hours later- no explanation or apologies. 

Prior to arrival, we were told several times to bring items to donate to an orphanage. On the day we were set to meet the kids, our guide brought us back to our lodging then told us since it was a holiday, the kids had gone home to their families. ..but it's an orphanage? We were forced to give all our items ($300USD) to the lodging manager and are not entirely sure where the items went.

Over the entire trip, our guide was consistently late and left us alone in our vehicle in large cities (without telling us where they'd be). We brought this up but there was no change. 
When we went for game drives, they would stop and take photos themselves, then continue on. They never checked in to see if we had a good view or got all our photos. 
In addition, our guide made three stops during our drive to visit friends. They would stop the car, hop out and chat with the person for several minutes, then hop back in. No explanation or apologies for the delay in time. At one point, both guides asked us if we wanted to stop and shop. We said no, but they still left us in the car and went shopping themselves. 

On the last day, our guide had initially promised a lunch before a ride to the airport however, the night before they decided they'd only take us to the airport.

Overall, we realized we overpaid for the trip we wanted and especially for the trip we got. We feel like we were fully taken advantage of and are unsure of the integrity/legitimacy of this company.
"
Antonio,KE,Visited: November 2022,21-Nov-22,50-65,2-5 safaris,Jocky Tours and Safaris,1,Less than 3h of Game Drive for a 2 day tour in Masai Mara - Avoid it!,"Terrible experience. I absolutely recommend against the 2 days 1 night tour to Masai Mara as the total game drive was 2.45h for both days. It's simply unacceptable. I have been to daily safaris of 5-6h of game drive.

Some good things though: My guide was great, the accommodation and food were good for being a budget safari.

Tour happened as follows:
Day 1: pick-up at 7am in Nairobi. Departure at 8am. Arrival at camp at 3pm. Game drive started at 5pm. It finished at 6.30pm.
Day 2: pick-up at 6.15am. Game drive starts at 6.45am. Game drive ended at 8.30am. I arrived at Nairobi at 3pm.

The drive from Nairobi to Camp will never be less than 6h and it can be up to 8h,

Take at least the 3 day tour or don't do it!

For respect for your time and well-being it is a brutal waste of time, money and energy don't do a 2 days 1 night tour. It was so frustrating to have ended a 2 day tour at 8.30am! I was shocked.

They never offer to refund partially or offered a discount for another safari.
I cannot recommend Jocky Agency. Avoid them!"
Antonio,US,Visited: July 2016,28-Aug-16,20-35,first safari,Visit Mount Kenya Tours,1,Worst experience ever ! Total scam.,"We met with mr. Rufus in Kenya to discuss our tour and our accommodations. We booked luxury tented camp accommodations during our safari and when we met with Rufus he told us the reservations for these camps were confirmed and we paid him. However on our first day of safari we got dropped off at a different very low budget tent camp which was not the camp he promised us we would stay at. 2 days later we went to a different national park and also there Rufus had arranged a totally different accommodation (less expensive and more basic) than was described in the booking. The last two days we would go to amboselli national park and we were supposed to stay at kibo Safari camp. However on our drive there we asked our driver where we would stay and suprisingly he was told to take us to a very low budget, crappy tented camp. We called Rufus to discuss this problem (again) and he told us we were on a waiting list for kibo camp. We didn't believe him and called Kibo camp ourselves and they told us they had plenty of tents available and they never had been in contact with ""visit mount Kenya tours"" or someone named Rufus. As Rufus was not answering his phone anymore we told our driver to go to kibo camp. Eventually the driver paid our first overnight there as Rufus was not responding to any calls. However the next day we called Rufus again and he was very aggressive and yelling that we costed him too much money and he wasn't going to pay our last night accommodation (even though we already payed him for a 6 day safari in advance. In the end we had to stay at the kimana amboselli tented camps, the camp Rufus wanted to accommodate us in the first place. This was the worst place I ever stayed. The toilets were disgusting with bugs in them, as was the shower (cold). Furthermore we both got sick from the food, as did others in the camp and our tent was full of holes and the sheets of the bed were full of stains. In shortdon't travel with this tour operating company, it's a complete scam !! "
Antony Kurian,AE,Visited: August 2019,20-Aug-19,50-65,2-5 safaris,Lians Travel Africa,1,A worst travel experience ever !!!,"We were a group of 14 people (5 families) from Dubai who planned to visit Kenya from August 12 to 17 ,2019 ,through' Lians travel Africa ' . This tour operator was selected because she showed the lowest quote and best itinerary.                               We started communicating with Ms.Lilian, operation manager concerning parks, places, accommodations,vehicle.....about 6 months before the safari started and made an agreed contract for touring in Kenyya for 5 nights and 6 days for 14 people. We were made to pay 25% the initial booking amount as advance.  As soon as we landed Kenya we paid the rest of the amount leaving a small balance to be paid at the end of the trip.We could sense some trouble in the beginning itself.  We got the message fromMs.Lilian,4 days before our date of travel,saying our hotel bookings are cancelled.  But later on she confirmed that every thing is done as per the agreed contract. During the first 3 days of our trip, our valuable safari time was wasted due  to  the issues between the drivers and agency, on 3rd day they changed the vehicles and drivers.  But it took a very bad shape when we reached Masaai mara on 4th day.  We were made to pay accommodation charges. What was more shocking was on 5th day we were left stranded without food and accommodation.  Finally we had to find out a camp on our own, had to pay the park fees.etc....       we would not recommend to use Lian Travel agency services as they focus more on trying to cheat and get the most money from clients than increasing customer satisfaction/experience. "
Archibald Haddock,UK,Visited: February 2019,21-Mar-19,50-65,2-5 safaris,Orongai Africa Safari,1,Don't even think about it,"Short story: cheats, crooks and unprofessional. Avoid this outfit like the plague. They offered us a price of 2150$/pp and three days before the trip they increased it in 650$/pp. Finally we were forced to pay 200$ extra and downgraded us from lodges to mobile tented camps.

Long story¢®? It¢®?s a long review, but I wanted to give all the details. If you are thinking of dealing with this people, I strongly advice you read on.

In December 2018 we got a quote from Orongai for a 7-day safari in northern Tanzania: Ngorongoro, Ndutu and Serengueti, for 8 people, all lodges. From February 16th to 22nd 2019. The price was 2,150 $ per person, total 17,200 $. I will send the quotation to anybody interested. Park fees, All accommodations, all transportation, and all Taxes/VAT were explicitly included. All lodges were mid/upper level: Lake Duluti Lodge, Ngorongoro Serena Safari Lodge, Ndutu Safari Lodge and Serengeti Serena Safari Lodge. 

The price was lower than others we had (first clue) and included a flight back from Serengeti¢®?s airstrip to Arusha the last day, which was the clincher: ¢®¡ÆAround midmorning join a scheduled flight from Seronera airstrip to Arusha airport.¢®¡¾ (sic). So, we agreed to this quotation: 2,150 $ pp.

In January 2018 we all paid a 30% (645 $ pp) by bank transfer. The remainder was to be paid on arrival in cash. The remainder was: 2,150 - 645= 1,505 $ per person, or 12,040 $ total. Two of us decided (stupidly, it turned out) to pay also our part of the remainder beforehand by transfer: 3,010 $ for two people. After this payment the remainder was: 12,040 ? 3,010 = 9,030 $, for the other 6 people (who decided to pay their remainder on arrival).

On February 12th I received the following message from Martha, the person in charge of our trip: ¢®¡Æjust wanted to inform you that there is additional 650$ per person this is due to additional concetion fees at NDUTU area and Ngorongoro area that we¢®?re not there before. We apologize for the inconveniences coursed¢®¡¾ (sic).

Cursed indeed! This left us all worried, to put it mildly. It followed a frenzied interchange of emails with the said Martha, trying to understand the extra 650 $ pp, a 30% increase! We checked with TANAPA and other authorities and there had been no increase of any park fees for more than a year. Finally, after many, many messages back and forth Martha wrote to me: ¢®¡ÆYes, I received the transfers and the cost is 2150$ per person plus the hotel payments fees 650$ per person. The total is 2,800$ per person¢®¡¾ (sic)

We considered not going, but we really wanted to do the safari, we had already paid 645$ each (or 2,150 $ some of us) plus the flights, a dear price for us, and we decided to go (another mistake). We contacted the lodges where we were supposed to stay to confirm the reservation. They confirmed it, but at least one of them called Orongai to tell them we were asking.

On arrival we had a very long and very unpleasant discussion with Martha, a guide called Asseri and another guide Freddy (who, unbeknownst to us, spoke a bit of Spanish, but much less than he thinks). We tried to convince them to honor their original offer, but reasoning with them was impossible. They denied evidence and the most basic logic stone-faced. It was like talking to a wall. They said for instance that the word ¢®¡ÆTotal¢®¡¾ next to the 17,200 $ didn¢®?t mean ¢®¡Æall the money¢®¡¾. They insisted that the remainder was 12,030 $, and not 9,030 $ as we said, because of the additional charges of 650 $ per person. Which doesn¢®?t even add up! If we had to pay an extra 650$ the remainder would be 14,230$. They further informed us that the flight back from Serengeti to Arusha was not included in the price, even if ¢®¡ÆAll transportation¢®¡¾ was explicitly included, because a flight is not ¢®¡Ætransportation¢®¡¾!

We called the Spanish embassy for advice. They put us in contact with a person in Arusha, who sometimes helped other Spaniards informally. He has more than 20 years of experience in the safari business himself. He was extremely, awfully kind. He tried to convince Orongai¢®?s people for maybe another hour. He couldn¢®?t. 

Finally, we decided to take it to the ¢®¡ÆTourist Police¢®¡¾, an institution created to deal with cases like this. We went there, a concrete bungalow in the outskirts of Arusha, bare of any official look or sign that I could see, and met with an official, a guy just dressed in jeans and a polo. We spent there another 2 hours, repeating everything to him (Orongai¢®?s people speaking mostly in Swahili even if we repeatedly asked them not to). He initially seemed to lean to our side, but finally, probably tired of the whole thing, told all of us that this was not a criminal dispute and that we had to resolve the thing among ourselves. And left. So much for the Tourist Police. During this, we offered to pay 200 $/person over the agreed 2,150 $. Orongai rejected this.

We went back to the hotel at around 11 pm. We were leaning to cancel the whole thing and leave. Mind you, in the middle of the night, without a car and without a hotel, because the lodge we were in, Lake Duluti Lodge, told us that we would have to pay our rooms ourselves (~ 300 $/room) because Orongai wouldn¢®?t pay if we canceled the safari. At this, Martha threatened us with legally/judicially demanding whole payment (her amount not ours), even if the safari didn¢®?t go ahead, because ¢®¡Æit would be our decision to cancel¢®¡¾.

After even more discussion, somebody suggested (I don¢®?t remember who) that if we paid the 9,030 $ we still owed, PLUS the 200 $/person we offered before AND they downgraded us to mobile tented camps, instead of lodges, we could go ahead. Tired of the whole thing, and worried of what a judicial process in Tanzania would entail, we agreed to this. They, then, made us sign a paper saying that these changes were our responsibility because we had not understood the original quotation correctly. Without this condition, they threatened again, the deal was off and they would sue us for full payment. Some of us signed, under duress obviously. So that you understand this downgrade, a mobile tented camp is a far cry from a permanent camp, let alone a lodge. Some permanent tented camps are really luxurious. The mobile tented camps are most definitely NOT luxurious. In some, the showers didn¢®?t even work, and didn¢®?t have enough power even to recharge the batteries/phones if we all tried at the same time.

A very suggestive thing happened at the Tourist Police. Martha, to convince us that 2,150 $/pp was an impossible price, listed in a piece of paper, from memory, the actual cost of each item: car rental, several park fees, lodge fees, food, water, everything. The total came exactly to 17,000 $. This shows that they know the cost of everything by heart, and that the quotation they gave us WAS NOT just a mistake they made, as we thought at some point. This clearly shows that this was a deliberate and, more importantly, practiced scheme to cheat clients. Mine is not the only story like this. Check the comments on Orongai in the web, many of the negative ones are from people with relatively ¢®¡Æhigh level¢®¡¾ safaris. The ones that may be amenable to pay extra when confronted with problems. Another suggestive detail is something our friend said. That, at least the Ndutu lodge (there is only the one) was almost certainly full by September already! That by December, when Orongai supposedly made the reservation, it would be utterly im-po-ssi-ble to get four double rooms there for mid-February. Possibly the others too. This makes me suspect that some reservations didn¢®?t exist. Instead, tented camps are easier to get at short notice. I sincerely believe that if we had paid the 650 $ extra, we would have still ended up either in lower-category lodges or in tented camps. Something that has happened to some clients of Orongai.

About the safari itself, one of the guides was nice (Freddy), the other (Asseri) wasn¢®?t at all. He never made any effort to place the car in a good position for the photos and barely spoke at all. Both were a bit risky drivers. Especially Asseri who frequently texted on his phone while driving, took photos or even video putting his full arm outside the window. Some of the seat belts were either broken or ""repaired"" with a knot. The lunch food was quite poor and always the same, including a piece of chicken so deeply fried as to be mummified. Almost inedible.

All said, what most vexed me, far beyond the extra cost and the downgrade, was that it half-ruined the whole trip. The preparations, the pre-travel excitement (one of the best things), were all erased in a flurry of worry and anger. A lot of the time while we were there talking about it¢®? it all embittered an experience that should have been exhilarating and special. They robed us of that.

Before the travel we contacted TATO (of which Orongai is supposed to be a member); Tanzania Tourism (government office) and TANAPA, asking about our problem. Only TANAPA answered. TATO and Tanz. Tourism didn¢®?t deign. The American Society of Travel Advisors confirmed that Orongai is not a member, contrary to what it says in safaribookings.com
"
Archna Singh,UK,Visited: August 2016,18-Aug-16,35-50,over 5 safaris,Love Africa Safaris,1,An absolutely horrible experience.,"Hi, I had booked a tour with them in 2014 for a 26 day tour to Botswana. I had paid a sum of $30,700  to them. Unfortunately, I had visa issues and due to that the agent said he will adjust it next year and also the fact that he will apply the visa from his end. Next year, we waited and waited as we had sent all documents to him, but the visa never came in 2015 also. When I went to the embassy again in 2016 as so much of my life savings was stuck, I was shocked to know that he had never applied for my visa to begin with. I was informed by the immigration officer that he has clearly cheated me. I wrote a safari review and due to their intervention, he decided to adjust my holiday again next year. Finally my visa came in July 2016 and Calvin Machekano of Love Africa Safaris said that due to non availability of lodges, he will have to book new lodges and took an additional $8615 from us. We really didnt have a choice as $30700  was already given to him earlier which now brought the total amount to approx $40,000. 

I am a photographer and had requested a landcruiser for myself. Anyway after arriving there, much to our shock, a 30 year old broken vehicle with no floor and holes and a ten inch platform to sit on and totally open from all sides was provided to us by his representative and guide, Steven Bond Mubi, which we were expected to do our surface transport to various parks (some of them 6-7 hours away) as well as safaris for the next 25 days. Upon concern, we were threatened by this guide that he will not go with us. But as a woman, to travel on highways in such a vehicle when we had paid for something else was unacceptable. Upon contacting Calvin of Love Africa Safaris he failed to do anything about it and insisted that we go in that vehicle with the same guide who was very temperamental and kept threatening us. We absolutely refused to go in such a vehicle with a guide, who according to local sources suffered from some mental problem and was thrown from South Africa  four years back. He came with an accomplice called Prince the morning we were to leave for the KHWAI concession in this beaten down vehicle and both of them threatened us. We were clearly now scared for our lives as with two of these characters going on a highway was impossible. We contacted the agent who refused to take our calls anymore. The guide, Steven Bond Mubi thereby left us and our luggage on the roadside and left.

We were left with no reservation, no hotel and no transportation on the roadside in a strange country. After 6 and a half hours of waiting in the sun we finally got accommodation in Airport hotel, Maun, where we spent the next three days trying to book our return journey, shocked and disappointed. After having given this agent $40,000 we just didnt have any money to hire another agent to finish our holiday. While we waited for our tickets to be rescheduled, we met with the police, consumer affairs and Botswana embassy people, who on initial investigation found that not only had he cheated us but also pocketed our $30700 and the new amount of $8615  was all for fresh bookings. We had to let go of all ur money and the entire holiday. We had to spend an additional $1000 to change our tickets back home. We have lodged an official complaint and have a letter from the embassy of Botswana as evidence. All terms and condition, including safari vehicles pictures and what vehicle was given to us - I have all the evidence. A 400 page complaint has been sent to all concerned authorities. I just want to warn everyone that never to go with this agent or his guide. I have lost all my life savings and came back empty handed. Besides this $40,000  international tickets cost us an additional $5000 . We not only lost a lot of money but also the experience of a beautiful country. As pointed out by the police commissioner of Maun, Calvin Machekano of Love Africa Safaris along with his associates, Steven Bond Mubi & Prince did this deliberately and robbed us. We have filed an official complaint of fraud and cheating against them. Please note that we have all evidence and acceptance letter by the police and consumer affairs Botswana."
arif,US,Visited: September 2016,17-Oct-16,20-35,2-5 safaris,Msafiri Travels,2,not living upto the promise,"we booked selous game reserve 3 days tour with them .. 7 adults 4 kids ..
first thing .. leina was very quick to respond to any queiries .. she collected the payments from me from my place and was swift with responses ..
but from the start of safari the service looked glitched.. first day one vehicle arrived and we had to wait one hour for the second vehicle 
after reaching the camp we had booked 3 rooms 3rd tent wasnt ready even after 3 hours of arriving and when the tent was given it was clearly a makeshift arrangement as the camp looked overbooked.. a tent of 2 was turned into tent of 4 with extra beds cramped in it with no mosquito nets.. they gave us a better tent next day but out of 2 nights one night was wasted and our mood spoiled
on 3rd morning we didnt want a walking safari instead an extra game drive but drivers werent informed about it so we had to inform drivers on our own and then they rechecked with the company.. it was all messy
on whole 3 days or even after the safari the tour operator didnt call even once to ask how were we doing or were the arrangements fine..
on last day she called me and asked for an extra 40 usd .. she said my wife ( who is tanzanian) didnt present her ppt on the park gate so she had to pay her full fees .. i told her nobody asked me for any documents and my wife was carrying her passport with her all the time .. if asked to present the passports it was on hand .. it was a communication mistake between them and the drivers which she was trying to put on me and extract money ..
last day the drivers were told not to give us lunch .. i said the lunch is included in package .. so the drivers arranged a lunch in completely horrible place where none of us could manage to eat.. we had carried foodstuffs with us that came handy
so with msafiri travels the experience was horrible.. i wouldnt advise anyone to go with them .. i have been on safari before and some people provide much better service
on the positive side Butembo selous camp was very cosy .. it gives u a great feel of jungle .. and the walk from restaurant to tents is like walking in real jungle .. ameneties are nice .. tents are good .. exceptionally clean hygenic and in great shape .. its real luxurious..though in summers a fan would be handy in tents as it gets very hot during summers..
the staff was super polite and saw to every demands of us..
food was average .. but in a camp which has only 7 tents u cant expect a buffet .. they had limited menu in dinners but it was fine ..
the drivers peter and ramdani were fabulous .. specially peter was so fearless .. they werent at all tired of driving whole day to try and spot animals .. they really went out of the way and made this trip memorable .. were also very polite and friendly 
over all we had great time due to the camp and drivers .. hence 2 stars to msafiri for providing us this camp and drivers .. or else there isnt much about msafiri to recommend"
Ashley,US,Visited: September 2022,31-Oct-22,35-50,over 5 safaris,Timeline Travel,1,Do not book with this company or Andrew as you will not get what he promises you.,"Andrew is not even capable of setting up a successful timeline for a trip which makes the name of his company ironic and absurd in his case. He cannot be trusted. Andrew did not include all activities, services, and meals as promised for the itinerary we agreed upon for the set price that was established. There were numerous activities and fees he did not book or pay in advance, causing multiple complications. He tried to cheat us out of several things to keep as much money for himself rather than honoring our agreement. He refused to give us vouchers or contact details for accommodations, drivers, or anything related to our trip after he got our money and we were already in South Africa. He put us in an unsafe and very vulnerable situation on this trip, not to mention caused us immense anxiety. We had to spend our free time trying to troubleshoot the problems he created. We lost hours battling with him trying to pay for things he promised and had to recruit people from our lodges to help us. He scheduled drivers to pick us up at our hotel at the same time we were supposed to be on a boat ride or safari 3 hours away. This caused us to miss multiple activities be they were not scheduled in a realistic way. We were left in the middle of no where without a driver one night and another night we not given the accommodation we were promised and forced to camp in a tiny zip up tent in the middle of wild animals instead of the luxury tented lodge described in the itinerary that Andrew just decided he was not going to book as promised. I could write pages on all the lies and deception this man did regarding our trip. Andrew literally told me that he was going to make my trip painful after he took our money and we were dropped off by ourselves in Kruger NP (when he was supposed to be our guide/driver for 2 more days)and this was the only thing that came out of his mouth that was true. Do not give this company or Andrew any money. Avoid at all costs."
Ashley Vera,ZA,Visited: May 2017,09-May-17,20-35,first safari,Doyen Safaris,1,"Liar, Thief, Coward and an Overall Scam!","I am absolutely disgusted with how horribly I was treated during my stay in Kenya after booking through Doyen Safaris. The owner, Kennedy, is the biggest liar, thief and coward I have ever met in my life. When we booked the trip in December, Kennedy was very responsive to my questions and concerns and gave me an itinerary with all of the hotels I would be staying in, so I felt comfortable and excited for the trip. But that was all a lie. From the moment we arrived in Kenya, there were several mix-ups and we were not delivered what we were promised. The hotels we stayed in were 3 of the most disgusting, dirty, old, and unsafe accommodations I have stayed in. The sheets we marked with blood from the mosquitoes and the beds had dirt on them. We were supposed to stay in glamorous tents when we went to Masai Mara, but I was shocked when we got there and I learned that first off I had to share a tent with a total stranger I had met in the car an hour before and second the place was a complete dump and even had a mouse in it. My group was promised a private tour but soon realized Kennedy had placed us with two other travelers. Every time we tried calling Kennedy to fix these issues he would tell our driver, Stanley, he was too busy to talk. The one great thing about the trip was our driver. Stanley was absolutely amazing and made the safari worth it, but anything else Kennedy was involved in was a complete disaster. The food was included in our package and it was the worst food I have ever eaten and I actually came home with typhoid fever because of the dire conditions of the camp. On my last night in Nairobi I was supposed to stay at the hotel Kennedy listed in my itinerary but of course when I got to Nairobi he said the plan had changed because the hotel was booked (he had already done this to us the day before with another hotel as well). I became very angry with Kennedy and began listing all the things that had gone wrong since the start of the trip and he acted like this was brand new information to him even though Stanley had been telling him all along what was going on. He denied everything and seemed shocked when I told him I had to share a tent with a stranger and he blamed the camp. He refused to take any responsibility and promised me he would put me in a 4 star hotel to make up for it. He had a driver take me to another hotel and as soon as we pulled up I knew this was not a 4 star hotel. It was a complete dump. They showed me to my room and when we walked in it turns out there was someone staying in that room already, so we went back to the lobby. I called him and told him this was not acceptable and that I had paid him a lot of money in order to stay in a nice hotel. I sent him several pictures of acceptable hotels I had found online and told him any of those would be fine. He asked me to go to booking.com and pay for the room and that he would send me money a week later through PayPal. Obviously I refused and told him he had to come to the hotel and sort it out right away. He finally came to the hotel and looked upset and annoyed and tried to convince me to stay there. I told him I would not stay there and he just sat around not saying or doing anything for about 20 minutes. Finally he got up and walked out of the hotel without saying a word. After 10 minutes I had the driver call him and he said he was figuring something out. An hour later I was still sitting in the lobby and now he was ignoring the driver's phone calls. I had the hotel call him and he told them to tell me I could either stay there or find my own place and pay for it myself. I was SO upset. What a liar, thief and a coward. Absolutely disgusted that these kinds of people actually exist. Do NOT book with this company. This man is only out for one thing. Your money. My goal is to spread this to as many people as possible so they don't have to experience what I did. "
Ashok Singh,ZA,Visited: July 2019,02-Aug-19,35-50,first safari,Kenya Walking Survivors Safaris Ltd,2,An experience of a lifetime that got ruined¢®?,"Pros
They can customize packages for your needs.
Affordable to an extent (Don¢®?t forget to bargain though)
They also do safaris in Uganda and Tanzania

Cons:
They do not deliver what they promise. 
There is a vast disconnect between the Guide/Driver and Mr.Otieno. The guide controls what you do on your trip. We missed 3 (2 evening (1 Amboseli, 1 Mara) and 1 morning at Nakuru) game drives and one was shortened (The last morning at Mara) as the guide was in a hurry to get out of the park. We did phone and also email Mr.Otieno to get things sorted however, nothing worked. He kept on promising that all will be right and as per the promised itinerary however, the guide kept doing what he wanted. The guide/driver (Anthony) who took us around for 7 days was experienced doing the same thing for 17 years however for them, it¢®?s business. The guide started throwing tantrums as we spoke to Mr.Otieno regarding the game drives that he refused to take. 

They fail to understand the needs of customers. In my case, we were 4 wildlife enthusiasts in a single vehicle; all disappointed with the way we were treated. Kenyan wildlife was my dream come true with this trip however, the guide ruined it (He and his tantrums). 
I would still have rated them a ¢®¡Æ5¢®¡¾ if they could just stick to what was promised as per the itinerary. 

Dear Mr.Otieno, You must start understanding what people look for and deliver what you promise. This is a business for you; however, for us travelers, it¢®?s a dream to plan and execute something like this."
Astrid,UK,Visited: July 2014,16-Nov-16,65+,first safari,Tembea East Africa Safaris,2,Do not use Tembea East Africa,"Never use Tembea East Africa Safaris out if Nairobi. What should have been a once in a lifetime, carefree trip turned into a stress-filled experience as a result of the firm's poor cash management, incompetence and the deceitful customer service. In the end to continue with our trip I had to pay over $850 in additional costs to cover their admitted mistakes and they have not refunded me. From my perspective they have stolen cash. Full story below.

We recently returned from an 8 day safari tour in Kenya and Tanzania through Tembea East Africa Safaris. Throughout the planning process the owner operator Issa S was helpful and responsive. As required bY Issa we paid our deposit well in advance of our trip to secure our lodgings and park entrance reservations. Two weeks prior to our arrival we confirmed our trip and wired the final payment. Although we were met at the airport and taken to our first night's accommodations we had considerable issues with Issa as the trip progressed.

We did not have the luxury accommodation reservations in the Masai Mara park as contracted and only learned of a change while en route to an inferior substitute -AA Lodges- (our room had no hot water, the lock on door was broken, the toilet in the room didn't flush, and the pool was out of service). When I told him I was not happy with this change Issa said he would call and make reservations for us at the contracted Mara Sopa Lodge. He ultimately called and said there was nothing he could do since he called but they weren't answering their phone. Unlikely story? We ended staying two nights in the inferior lodge.

Things deteriorated further when we were at the entrance gate of Serengeti Park. Issa had failed to deposit the appropriate amount of cash required in advance and after more than 2 hours waiting at the gate for resolution, the only solution was for me to use my personal credit card and charge $400 for one days entrance. Both the guide and I reached out to Issa several times by phone but after our initial discussion where he blamed the problem on the ""banks being closed on Sunday"" and not that he failed to deposit the cash on time, he simply refused to pick up his phone. We missed our evening safari drive and arrived at our camp late, frazzled and $400 lighter. No money was available the next day in time to pay day two fees so we spent additional hours riding to various entry points (taking away from our safari time) and ultimately I had to pay an additional $400 in park fees. Issa sent an email apologizing and told me he would meet me at the Kenyan border upon our return with $800 in cash.

Things got worse upon leaving Serengeti to enter Ngorogoro Crater. He again delayed cash arrangements so we needed to wait at the entrance 2 hours until the transfer cleared. Unfortunately he didn't deposit the correct amount and because of the park payment system we could not use cash or credit card to make up the difference. As a result we waited another several hours at the entrance for the transfer. Because of this delay we were only able to spend 2 hours in the park (versus the 6 hours scheduled) and missed a good portion of our safari drive that day in the Crater. Everyone in our party was disappointed since this was a key part of our trip. Again, Issa refused to respond by email, text or phone in spite of the guide's and my attempt to reach him for some explanation. To add insult to injury we arrived at the Ngorogoro Farmhouse for our overnight and they couldn't find our reservations. They ultimately came back and said that reservations were only made that day so we were initially not on the list. Luckily they had accommodations.

We did make it to the Kenyan border the next day but Issa was not there with the money. He sent an email apologizing and said he would meet me in Nairobi at our hotel with the cash. Our last day at Amboselli went well but upon checkout there was a cash shortage and for us to leave at a reasonable time to return to Nairobi (5 hour drive) I once again had to personally charge $66. I was now owed $866.

I was obviously angry with Issa and his lack of professionalism in managing this safari trip. When we arrived at the hotel (6:30 pm) he was not there. He finally answered his phone and when I confronted him about these issues and his absence at the hotel as promised he said he would be there shortly with the cash refund and we could discuss. We waited until 8 pm and he never showed. His guide, the hotel clerk and I tried to reach him. He simply let the phone ring and then would not pick up. He eventually emailed me around 10 pm that he didn't show because I was too aggressive when I spoke to him. He guaranteed that I would be refunded the $866 by the time I returned home.

I have been home for more than a month and have received numerous emails from his finance person Damien assuring me that I will receive a refund. After reading comments on Trip Advisor (and Damien's recent silence) it is apparent that no refund is forthcoming.

I need to be fair and say that the trip was saved from total disaster because of the knowledge and professionalism of our guides, Abraham in Kenya and Dennis in Tanzania. When we were on safari rides they were excellent, answering all our questions and seemingly blessed with a sixth sense to ferret out the animals. We have no complaints on that end.

Issa is an obvious incompetent who lacks professionalism and unless I get refunded, an obvious crook as well. He never offered any sympathy, apologies and definitely compensation for the downgrade in hotel and for our time lost from our safaris because of his failure to transfer adequate funds for hotels and park fees. We planned a long time for this very costly trip and were very disappointed with our decision to go with Tembea. Do not make the same mistake.

I am glad to answer any further questions on my experience.  
"
